# Kinova Gen3 Motion Plan
# Generated from trajectory: alpha_0p900
# Source experiment: w100_sum_z_constraint
# Generated on: 2025-08-27T08:09:05.264969
# Alpha: 0.9
# Length cost: 0.7540323596824643
# Obstacle cost: 9.140330603462637
# Total duration: 24.500 seconds
# Number of timesteps: 246
#
time_s,joint1_rad,joint2_rad,joint3_rad,joint4_rad,joint5_rad,joint6_rad,joint7_rad
16.7000,-0.019682,-0.119668,0.258688,2.544916,0.078562,0.966261,-1.570046
16.8000,-0.018605,-0.109745,0.254379,2.542308,0.075901,0.956523,-1.570043
16.9000,-0.017528,-0.099822,0.250070,2.539700,0.073240,0.946785,-1.570040
17.0000,-0.016451,-0.089898,0.245760,2.537091,0.070579,0.937047,-1.570037
17.1000,-0.015548,-0.080083,0.241487,2.533480,0.067751,0.926369,-1.570033
17.2000,-0.014645,-0.070267,0.237215,2.529869,0.064922,0.915691,-1.570029
17.3000,-0.013743,-0.060451,0.232942,2.526258,0.062093,0.905014,-1.570025
17.4000,-0.012840,-0.050636,0.228669,2.522647,0.059264,0.894336,-1.570021
17.5000,-0.011937,-0.040820,0.224396,2.519035,0.056436,0.883659,-1.570017
17.6000,-0.011183,-0.031137,0.220180,2.514358,0.053503,0.872103,-1.570014
17.7000,-0.010429,-0.021454,0.215963,2.509681,0.050571,0.860548,-1.570010
17.8000,-0.009675,-0.011771,0.211746,2.505004,0.047638,0.848993,-1.570006
17.9000,-0.008921,-0.002088,0.207529,2.500326,0.044706,0.837438,-1.570003
18.0000,-0.008167,0.007595,0.203312,2.495649,0.041773,0.825883,-1.569999
18.1000,-0.007529,0.017127,0.199189,2.489857,0.038811,0.813509,-1.569996
18.2000,-0.006891,0.026658,0.195065,2.484065,0.035848,0.801135,-1.569994
18.3000,-0.006253,0.036189,0.190942,2.478273,0.032886,0.788760,-1.569991
18.4000,-0.005616,0.045721,0.186819,2.472481,0.029923,0.776386,-1.569989
18.5000,-0.004978,0.055252,0.182695,2.466689,0.026961,0.764012,-1.569986
18.6000,-0.004430,0.064612,0.178709,2.459746,0.024032,0.750877,-1.569983
18.7000,-0.003882,0.073973,0.174722,2.452804,0.021104,0.737742,-1.569979
18.8000,-0.003335,0.083333,0.170735,2.445861,0.018175,0.724607,-1.569975
18.9000,-0.002787,0.092693,0.166748,2.438918,0.015246,0.711472,-1.569972
19.0000,-0.002239,0.102054,0.162761,2.431975,0.012318,0.698337,-1.569968
19.1000,-0.001768,0.111218,0.158968,2.423850,0.009484,0.684515,-1.569965
19.2000,-0.001297,0.120382,0.155174,2.415725,0.006651,0.670694,-1.569962
19.3000,-0.000825,0.129547,0.151381,2.407600,0.003817,0.656872,-1.569959
19.4000,-0.000354,0.138711,0.147587,2.399475,0.000983,0.643050,-1.569956
19.5000,0.000117,0.147875,0.143794,2.391350,-0.001850,0.629229,-1.569953
19.6000,0.000505,0.156797,0.140299,2.382012,-0.004501,0.614858,-1.569949
19.7000,0.000894,0.165719,0.136803,2.372674,-0.007152,0.600488,-1.569945
19.8000,0.001282,0.174640,0.133308,2.363336,-0.009802,0.586118,-1.569942
19.9000,0.001671,0.183562,0.129812,2.353999,-0.012453,0.571747,-1.569938
20.0000,0.002059,0.192483,0.126317,2.344661,-0.015103,0.557377,-1.569934
20.1000,0.002227,0.201025,0.123423,2.334221,-0.017321,0.543068,-1.569931
20.2000,0.002394,0.209566,0.120528,2.323781,-0.019539,0.528760,-1.569928
20.3000,0.002562,0.218107,0.117634,2.313342,-0.021757,0.514451,-1.569925
20.4000,0.002729,0.226649,0.114740,2.302902,-0.023975,0.500143,-1.569922
20.5000,0.002896,0.235190,0.111845,2.292462,-0.026192,0.485834,-1.569919
20.6000,0.002726,0.244520,0.109652,2.281697,-0.027832,0.472067,-1.569913
20.7000,0.002555,0.253849,0.107459,2.270932,-0.029471,0.458299,-1.569907
20.8000,0.002384,0.263179,0.105266,2.260167,-0.031110,0.444531,-1.569901
20.9000,0.002214,0.272508,0.103072,2.249402,-0.032749,0.430764,-1.569894
21.0000,0.002043,0.281837,0.100879,2.238637,-0.034388,0.416996,-1.569888
21.1000,0.001471,0.291446,0.099371,2.227160,-0.035454,0.403873,-1.569890
21.2000,0.000899,0.301056,0.097863,2.215683,-0.036520,0.390750,-1.569891
21.3000,0.000327,0.310665,0.096356,2.204207,-0.037586,0.377627,-1.569893
21.4000,-0.000245,0.320274,0.094848,2.192730,-0.038652,0.364504,-1.569895
21.5000,-0.000817,0.329883,0.093340,2.181253,-0.039718,0.351381,-1.569896
21.6000,-0.001565,0.338888,0.092300,2.168780,-0.040366,0.338682,-1.569894
21.7000,-0.002313,0.347894,0.091260,2.156307,-0.041015,0.325983,-1.569892
21.8000,-0.003060,0.356900,0.090220,2.143835,-0.041663,0.313284,-1.569889
21.9000,-0.003808,0.365906,0.089181,2.131362,-0.042311,0.300585,-1.569887
22.0000,-0.004555,0.374912,0.088141,2.118889,-0.042960,0.287886,-1.569885
22.1000,-0.006122,0.383108,0.086645,2.105799,-0.043505,0.275377,-1.569895
